trad,simp,pinyin,English,examples,idx,priority,diff,known
陰,阴,yīn,negative / shade,阴天(陰天);阴影(陰影);阴阳(陰陽),72,2,,5
雲,云,yún,cloud / surname,白云(白雲);云彩(雲彩);乌云(烏雲),73,2,,4
響,响,xiǎng,sound / to resound,影响(影響);响声(響聲);反响(反響),74,3,,6
務,务,wù,affair / business,服务(服務);任务(任務);业务(業務),75,3,,6
帶,带,dài,to bring,带来(帶來);皮带(皮帶);地带(地帶),76,3,,6
業,业,yè,business / industry,工业(工業);专业(專業);毕业(畢業),77,3,,6
畫,画,huà,picture / to draw,画画(畫畫);图画(圖畫);漫画(漫畫),78,3,,6
場,场,chǎng,field / place,市场(市場);机场(機場);现场(現場),79,3,,6
達,达,dá,to reach,达到(達到);表达(表達);发达(發達),80,3,,6
觀,观,guān,to view,观点(觀點);参观(參觀);乐观(樂觀),81,3,,6
辦,办,bàn,to handle / do,办法(辦法);办理(辦理);办公室(辦公室),82,3,,6
眾,众,zhòng,crowd / masses,观众(觀眾);群众(群眾);大众(大眾),83,3,,6
體,体,tǐ,body / form,身体(身體);体育(體育);具体(具體),84,3,,6
備,备,bèi,to prepare,准备(準備);设备(設備);具备(具備),85,3,,6
隊,队,duì,team,队伍(隊伍);球队(球隊);排队(排隊),86,3,,6
該,该,gāi,should / ought,应该(應該);活该(活該),87,3,,6
擊,击,jī,to strike,打击(打擊);攻击(攻擊);点击(點擊),88,3,,6
舊,旧,jiù,old (not new),旧事(舊事);依旧(依舊);怀旧(懷舊),89,3,,6
導,导,dǎo,to guide,领导(領導);导致(導致);导演(導演),90,3,,6
製,制,zhì,to make / system,制度(制度);控制(控制);制造(製造),91,3,,6
況,况,kuàng,situation,情况(情況);况且(況且);状况(狀況),92,3,,6
縣,县,xiàn,county,县城(縣城);县长(縣長),93,3,,6
層,层,céng,layer,一层(一層);高层(高層);层次(層次),94,3,,6
節,节,jié,festival / section,节目(節目);春节(春節);季节(季節),95,3,,6
細,细,xì,thin / fine,仔细(仔細);详细(詳細);细节(細節),96,3,,6
麗,丽,lì,beautiful,美丽(美麗);华丽(華麗);壮丽(壯麗),97,3,,6
藥,药,yào,medicine,药物(藥物);吃药(吃藥);中药(中藥),98,3,,6
陸,陆,lù,land,大陆(大陸);陆地(陸地);登陆(登陸),99,3,,6
錢,钱,qián,money,金钱(金錢);花钱(花錢);赚钱(賺錢),100,3,,6
謝,谢,xiè,to thank / surname,谢谢(謝謝);感谢(感謝);道谢(道謝),101,3,,6
費,费,fèi,to cost / surname,费用(費用);浪费(浪費);消费(消費),102,3,,6
湯,汤,tāng,soup / surname,喝汤(喝湯);汤圆(湯圓);鸡汤(雞湯),103,3,,6
畢,毕,bì,complete / surname,毕业(畢業);毕竟(畢竟),104,3,,6
樂,乐,lè,happy / surname,快乐(快樂);音乐(音樂);乐趣(樂趣),105,3,,6
黃,黄,huáng,yellow / surname,黄色(黃色);黄河(黃河);蛋黄(蛋黃),106,3,,6
紀,纪,jǐ,surname,世纪(世紀);年纪(年紀);纪律(紀律),107,3,,6
藍,蓝,lán,blue / surname,蓝色(藍色);蓝天(藍天);蔚蓝(蔚藍),108,3,,6
強,强,qiáng,strong / surname,强大(強大);加强(加強);坚强(堅強),109,3,,6
鍾,钟,zhōng,clock / surname,分钟(分鐘);时钟(時鐘);闹钟(鬧鐘),110,3,,6
經,经,jīng,surname,已经(已經);经过(經過);经验(經驗),111,3,,6
應,应,yīng,should / surname,应该(應該);应用(應用);反应(反應),112,3,,6
龍,龙,lóng,dragon / surname,龙头(龍頭);恐龙(恐龍);龙舟(龍舟),113,3,,6
從,从,cóng,surname,从来(從來);从前(從前);从事(從事),114,3,,6
喬,乔,qiáo,tall / surname,乔木(喬木),115,3,,6
陰,阴,yīn,surname,阴天(陰天);阴影(陰影);阴阳(陰陽),116,3,,6
雙,双,shuāng,pair / surname,双方(雙方);双手(雙手);双重(雙重),117,3,,6
黨,党,dǎng,surname,党员(黨員);政党(政黨);共产党(共產黨),118,3,,6
勞,劳,láo,toil / surname,劳动(勞動);辛劳(辛勞);疲劳(疲勞),119,3,,6
農,农,nóng,farming / surname,农民(農民);农村(農村);农业(農業),120,3,,6
習,习,xí,to practice / surname,学习(學習);习惯(習慣);练习(練習),121,3,,6
魚,鱼,yú,fish / surname,鱼肉(魚肉);金鱼(金魚);钓鱼(釣魚),122,3,,6
廣,广,guǎng,wide / surname,广告(廣告);广场(廣場);广大(廣大),123,3,,6
關,关,guān,surname,关系(關係);关于(關於);关心(關心),124,3,,6
陳,陈,chén,surname,陈旧(陳舊);陈列(陳列);陈述(陳述),125,4,,6
趙,赵,zhào,surname,-,126,4,,6
孫,孙,sūn,surname,孙子(孫子);子孙(子孫);孙女(孫女),127,4,,6
許,许,xǔ,surname,也许(也許);许多(許多);允许(允許),128,4,,6
何,何,hé,what / surname,任何(任何);如何(如何);为何(為何),129,4,,6
施,施,shī,to apply / surname,实施(實施);措施(措施);施工(施工),130,4,,6
孔,孔,kǒng,hole / surname,孔子(孔子);孔雀(孔雀);面孔(面孔),131,4,,6
嚴,严,yán,strict,严重(嚴重);严格(嚴格);严肃(嚴肅),132,4,,6
姜,姜,jiāng,ginger,生姜(生薑);姜汤(薑湯),133,4,,6
章,章,zhāng,chapter / surname,文章(文章);章节(章節);章程(章程),134,4,,6
蘇,苏,sū,revive / surname,苏醒(甦醒);复苏(復甦);江苏(江蘇),135,4,,6
羅,罗,luó,net / surname,罗马(羅馬);罗盘(羅盤),136,4,,6
項,项,xiàng,neck / surname,项目(項目);事项(事項);选项(選項),137,4,,6
顏,颜,yán,face / surname,颜色(顏色);颜料(顏料);容颜(容顏),138,4,,6
計,计,jì,plan / surname,计划(計劃);计算(計算);设计(設計),139,4,,6
談,谈,tán,to talk / surname,谈话(談話);交谈(交談);谈论(談論),140,4,,6
單,单,shàn,surname,简单(簡單);单位(單位);名单(名單),141,4,,6
懷,怀,huái,to cherish / surname,怀疑(懷疑);怀念(懷念);关怀(關懷),142,4,,6
蒼,苍,cāng,dark green / surname,苍白(蒼白);苍老(蒼老);苍蝇(蒼蠅),143,4,,6
聞,闻,wén,to hear / surname,新闻(新聞);听闻(聽聞);闻名(聞名),144,4,,6
卻,却,què,but / to retreat,忘却(忘卻);退却(退卻);冷却(冷卻),145,4,,6
邊,边,biān,surname,旁边(旁邊);这边(這邊);一边(一邊),146,4,,6
溫,温,wēn,warm / surname,温度(溫度);温暖(溫暖);体温(體溫),147,4,,6
莊,庄,zhuāng,village / surname,村庄(村莊);庄园(莊園);庄重(莊重),148,4,,6
連,连,lián,to link / surname,连接(連接);连续(連續);连忙(連忙),149,4,,6
終,终,zhōng,end / surname,终于(終於);最终(最終);始终(始終),150,4,,6
簡,简,jiǎn,simple / surname,简单(簡單);简介(簡介);简直(簡直),151,4,,6
養,养,yǎng,to raise / surname,营养(營養);培养(培養);养成(養成),152,4,,6
紅,红,hóng,red / surname,红色(紅色);红酒(紅酒);红包(紅包),153,4,,6
蓋,盖,gài,to cover / surname,盖子(蓋子);覆盖(覆蓋);膝盖(膝蓋),154,4,,6
鄭,郑,zhèng,surname,郑重(鄭重),155,5,,6
韓,韩,hán,surname,韩国(韓國);韩语(韓語);韩剧(韓劇),156,5,,6
楊,杨,yáng,surname,杨树(楊樹);白杨(白楊),157,5,,6
須,须,xū,necessary / surname,必须(必須);须知(須知);胡须(鬍鬚),158,5,,6
